name,state,city,street,longitude,latitude,website_url,outdoor_,food_,dog_,games_,music_,tour_
Exhibit 'A' Brewing Co.,Massachusetts,Framingham,81 Morton St,-71.40187088,42.27880435,http://www.exhibit-A-brewing.com,Yes,Yes,No,Yes,Yes,Yes
Flying Dreams Brewing Co.,Massachusetts,Worcester,455B Park Ave,-71.82618857,42.25419957,http://www.flyingdreamsbrewing.com,Yes,No,No,No,Yes,No
Fort Hill Brewery,Massachusetts,Easthampton,30 Fort Hill Rd,-72.64143098,42.28503154,http://www.forthillbrewery.com,Yes,Yes,Yes,Yes,Yes,Yes
Greasy Luck Brewery,Massachusetts,New Bedford,791 Purchase St,-70.92607527,41.63507079,http://www.greasyluckbrewery.com,No,Yes,No,No,Yes,No
Greater Good Imperial Brew Co,Massachusetts,Worcester,55 Millbrook St,-71.80355503,42.2891295,http://www.greatergoodimperials.com,Yes,Yes,Yes,Yes,Yes,No
Harpoon Brewery,Massachusetts,Boston,306 Northern Ave Ste 2,-71.0348293,42.3465637,http://www.harpoonbrewery.com,Yes,Yes,Yes,No,Yes,Yes
High Horse Brewery and Bistro,Massachusetts,Amherst,24 N Pleasant St,-72.5201343,42.376218,http://www.highhorsebrewing.com,Yes,Yes,No,Yes,Yes,No
Hitchcock Brewing Company,Massachusetts,Whately,129 Christian Ln,-72.60641222,42.44606511,http://www.hitchcockbrewing.com,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Homefield Brewing,Massachusetts,Fiskdale,3 Arnold Rd,-72.106492436242,42.1156228179171,http://www.homefieldbrewing.com,Yes,Yes,No,No,Yes,Yes
Honest Weight Artisan Beer,Massachusetts,Orange,131 W Main St,-72.3163710237493,42.59170885,http://www.honestweightbeer.com,No,Yes,No,No,No,No
Idle Hands Craft Ales,Massachusetts,Malden,89 Commercial St,-71.07473084,42.4243819,http://www.idlehandscraftales.com,No,Yes,No,No,Yes,Yes
Independent Fermentations Brewing,Massachusetts,Plymouth,127 Camelot Dr,-70.6449136123774,41.9275641,http://www.independentfermentations.com,No,No,Yes,Yes,No,No
Ipswich Ale Brewery,Massachusetts,Ipswich,2 Brewery Place,-70.8415179756021,42.68094065,http://www.ipswichalebrewery.com,Yes,Yes,Yes,No,Yes,Yes
Iron Duke Brewing Co,Massachusetts,Ludlow,100 State St,-72.4802408576763,42.1564377195866,http://www.irondukebrewing.com,Yes,Yes,Yes,Yes,Yes,Yes
Jack's Abby Brewing,Massachusetts,Framingham,100 Clinton St,-71.4109021,42.2800852,http://www.jacksabbybrewing.com,Yes,Yes,No,No,No,Yes
Kismet Brewing Company,Massachusetts,Westfield,66 S Broad St,-72.7461088083134,42.11027585,http://www.kismetbrewing.com,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
